#,国家/地区,<span style='color:#000;'>金</span>,<span style='color:#000;'>银</span>,铜,总奖牌
1,中国,107,41,28,176
2,日本,31,49,49,129
3,韩国,16,21,36,73
4,乌兹别克斯坦,8,17,9,34
5,哈萨克斯坦,8,8,19,35
6,泰国,8,7,9,24
7,伊朗,7,14,7,28
8,巴林,7,2,2,11
9,朝鲜,5,5,4,14
10,印度,4,12,14,30
19,新加坡,1,5,3,9
11,香港,4,11,14,29
12,马来西亚,4,1,7,12
13,中华台北,2,5,17,24
14,印度尼西亚,2,4,17,23
15,菲律宾,2,2,6,10
16,卡塔尔,2,2,1,5
17,科威特,2,1,2,5
18,塔吉克斯坦,2,1,1,4
19,新加坡,1,5,3,9
20,澳门,1,4,1,6
21,越南,1,1,16,18
22,约旦,1,1,1,3
22,缅甸,1,1,1,3
24,沙特阿拉伯,0,2,5,7
25,吉尔吉斯斯坦,0,1,3,4
26,阿富汗,0,1,2,3
26,伊拉克,0,1,2,3
28,黎巴嫩,0,1,1,2
28,阿曼,0,1,1,2
30,斯里兰卡,0,1,0,1
30,土库曼斯坦,0,1,0,1
30,阿联酋,0,1,0,1
33,柬埔寨,0,0,4,4
33,巴基斯坦,0,0,4,4
35,尼泊尔,0,0,2,2
36,孟加拉国,0,0,1,1
36,文莱,0,0,1,1
36,蒙古,0,0,1,1
36,叙利亚,0,0,1,1
